s;UF;REGIAO;LOCALIDADE;LOCALIDADE_SEM_ACENTOS;FAIXA_DE_CEP;CEP_INICIAL;CEP_FINAL;SITUACAO;TIPO_DE_FAIXA;LATITUDE;LONGITUDE;COD_GEOGRAFICO_SUBDIVISAO;COD_GEOGRAFICO_DISTRITO;COD_IBGE;MICRORREGIAO;MESORREGIAO;CATEGORIA;ALTITUDE;LOCALIZACAO;LOCALIZACAO_SEM_ACENTOS
1;AC;Norte;Acrelândia;Acrelandia;69945-000 a 69949-999;69945000 ; 69949999;Não codificada por logradouros;Total do município;-10,07379389;-67,05231658;12000130500;120001305;1200013;RIO BRANCO;VALE DO ACRE;CIDADE;205,89;BRA, ACRE, ACRELÂNDIA;BR, ACRE, ACRELANDIA
2;AC;Norte;Assis Brasil;Assis Brasil;69935-000 a 69939-999;69935000 ; 69939999;Não codificada por logradouros;Total do município;-10,94286568;-69,56345917;12000540500;120005405;1200054;BRASILÉIA;VALE DO ACRE;CIDADE;234,87;BRA, ACRE, ASSIS BRASIL;BR, ACRE, ASSIS BRASIL
3;AC;Norte;Brasiléia;Brasileia;69932-000 a 69933-999;69932000 ; 69933999;Não codificada por logradouros;Total do município;-11,01641102;-68,74794343;12001040500;120010405;1200104;BRASILÉIA;VALE DO ACRE;CIDADE;188,32;BRA, ACRE, BRASILÉIA;BR, ACRE, BRASILEIA
4;AC;Norte;Bujari;Bujari;69926-000 a 69926-999;69926000 ; 69926999;Não codificada por logradouros;Total do município;-9,820019627;-67,95185928;12001380500;120013805;1200138;RIO BRANCO;VALE DO ACRE;CIDADE;198,17;BRA, ACRE, BUJARI;BR, ACRE, BUJARI
5;AC;Norte;Capixaba;Capixaba;69931-000 a 69931-999;69931000 ; 69931999;Não codificada por logradouros;Total do município;-10,56976771;-67,67350797;12001790500;120017905;1200179;RIO BRANCO;VALE DO ACRE;CIDADE;212,3;BRA, ACRE, CAPIXABA;BR, ACRE, CAPIXABA
6;AC;Norte;Cruzeiro do Sul;Cruzeiro do Sul;69980-000 a 69981-999;69980000 ; 69981999;Não codificada por logradouros;Total do município;-7,630690005;-72,67253132;12002030500;120020305;1200203;CRUZEIRO DO SUL;VALE DO JURUÁ;CIDADE;183,08;BRA, ACRE, CRUZEIRO DO SUL;BR, ACRE, CRUZEIRO DO SUL
7;AC;Norte;Epitaciolândia;Epitaciolandia;69934-000 a 69934-999;69934000 ; 69934999;Não codificada por logradouros;Total do município;-11,02823983;-68,74486807;12002520500;120025205;1200252;BRASILÉIA;VALE DO ACRE;CIDADE;206,04;BRA, ACRE, EPITACIOLÂNDIA;BR, ACRE, EPITACIOLANDIA
8;AC;Norte;Feijó;Feijo;69960-000 a 69969-999;69960000 ; 69969999;Não codificada por logradouros;Total do município;-8,16024753;-70,35398361;12003020500;120030205;1200302;TARAUACÁ;VALE DO JURUÁ;CIDADE;159,82;BRA, ACRE, FEIJÓ;BR, ACRE, FEIJO
9;AC;Norte;Jordão;Jordao;69975-000 a 69979-999;69975000 ; 69979999;Não codificada por logradouros;Total do município;-9,19335786;-71,95087512;12003280500;120032805;1200328;TARAUACÁ;VALE DO JURUÁ;CIDADE;264,98;BRA, ACRE, JORDÃO;BR, ACRE, JORDAO
10;AC;Norte;Mâncio Lima;Mancio Lima;69990-000 a 69999-999;69990000 ; 69999999;Não codificada por logradouros;Total do município;-7,593222594;-72,91650103;12003360500;120033605;1200336;CRUZEIRO DO SUL;VALE DO JURUÁ;CIDADE;187,07;BRA, ACRE, MÂNCIO LIMA;BR, ACRE, MANCIO LIMA
11;AC;Norte;Manoel Urbano;Manoel Urbano;69950-000 a 69954-999;69950000 ; 69954999;Não codificada por logradouros;Total do município;-8,836317737;-69,25994458;12003440500;120034405;1200344;SENA MADUREIRA;VALE DO ACRE;CIDADE;162,13;BRA, ACRE, MANOEL URBANO;BR, ACRE, MANOEL URBANO
12;AC;Norte;Marechal Thaumaturgo;Marechal Thaumaturgo;69983-000 a 69984-999;69983000 ; 69984999;Não codificada por logradouros;Total do município;-8,953591123;-72,79026591;12003510500;120035105;1200351;CRUZEIRO DO SUL;VALE DO JURUÁ;CIDADE;214,91;BRA, ACRE, MARECHAL THAUMATURGO;BR, ACRE, MARECHAL THAUMATURGO
13;AC;Norte;Plácido de Castro;Placido de Castro;69928-000 a 69929-999;69928000 ; 69929999;Não codificada por logradouros;Total do município;-10,33513328;-67,18826009;12003850500;120038505;1200385;RIO BRANCO;VALE DO ACRE;CIDADE;129,19;BRA, ACRE, PLÁCIDO DE CASTRO;BR, ACRE, PLACIDO DE CASTRO
14;AC;Norte;Porto Acre;Porto Acre;69927-000 a 69927-999;69927000 ; 69927999;Não codificada por logradouros;Total do município;-9,600858231;-67,54059008;12008070500;120080705;1200807;RIO BRANCO;VALE DO ACRE;CIDADE;134,32;BRA, ACRE, PORTO ACRE;BR, ACRE, PORTO ACRE
15;AC;Norte;Porto Walter;Porto Walter;69982-000 a 69982-999;69982000 ; 69982999;Não codificada por logradouros;Total do município;-8,266666363;-72,74233396;12003930500;120039305;1200393;CRUZEIRO DO SUL;VALE DO JURUÁ;CIDADE;201,81;BRA, ACRE, PORTO WALTER;BR, ACRE, PORTO WALTER
16;AC;Norte;Rio Branco;Rio Branco;69900-000 a 69924-999;69900000 ; 69924999;Codificado por logradouros;Total do município;-9,978298753;-67,8105287;12004010500;120040105;1200401;RIO BRANCO;VALE DO ACRE;CIDADE;137,87;BRA, ACRE, RIO BRANCO;BR, ACRE, RIO BRANCO
17;AC;Norte;Rio Branco;Rio Branco;69900-000 a 69923-999;69900000 ; 69923999;Codificada por logradouros;Exclusiva da sede urbana;-9,978298753;-67,8105287;12004010500;120040105;1200401;RIO BRANCO;VALE DO ACRE;CIDADE;137,87;BRA, ACRE, RIO BRANCO;BR, ACRE, RIO BRANCO
